,INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,OPR_INTERVAL,GROUP
37,2024-01-02T05:00:00-00:00,2024-01-02T05:15:00-00:00,2024-01-01,22,PALOVRDE_5_N101,PALOVRDE_5_N101,PALOVRDE_5_N101,HASP,LMP,LMP_PRC,PALOVRDE_5_N101,ALL,1,45.33671,1,5
38,2024-01-02T06:00:00-00:00,2024-01-02T06:15:00-00:00,2024-01-01,23,PALOVRDE_5_N101,PALOVRDE_5_N101,PALOVRDE_5_N101,HASP,LMP,LMP_PRC,PALOVRDE_5_N101,ALL,1,45.69968,1,5
39,2024-01-02T07:00:00-00:00,2024-01-02T07:15:00-00:00,2024-01-01,24,PALOVRDE_5_N101,PALOVRDE_5_N101,PALOVRDE_5_N101,HASP,LMP,LMP_PRC,PALOVRDE_5_N101,ALL,1,39.35416,1,5
40,2024-01-01T08:15:00-00:00,2024-01-01T08:30:00-00:00,2024-01-01,1,PALOVRDE_5_N101,PALOVRDE_5_N101,PALOVRDE_5_N101,HASP,LMP,LMP_PRC,PALOVRDE_5_N101,ALL,1,42.20697,2,5
41,2024-01-01T09:15:00-00:00,2024-01-01T09:30:00-00:00,2024-01-01,2,PALOVRDE_5_N101,PALOVRDE_5_N101,PALOVRDE_5_N101,HASP,LMP,LMP_PRC,PALOVRDE_5_N101,ALL,1,37.88406,2,5
42,2024-01-01T10:15:00-00:00,2024-01-01T10:30:00-00:00,2024-01-01,3,PALOVRDE_5_N101,PALOVRDE_5_N101,PALOVRDE_5_N101,HASP,LMP,LMP_PRC,PALOVRDE_5_N101,ALL,1,38.77566,2,5
43,2024-01-01T11:15:00-00:00,2024-01-01T11:30:00-00:00,2024-01-01,4,PALOVRDE_5_N101,PALOVRDE_5_N101,PALOVRDE_5_N101,HASP,LMP,LMP_PRC,PALOVRDE_5_N101,ALL,1,38.81868,2,5
44,2024-01-01T12:15:00-00:00,2024-01-01T12:30:00-00:00,2024-01-01,5,PALOVRDE_5_N101,PALOVRDE_5_N101,PALOVRDE_5_N101,HASP,LMP,LMP_PRC,PALOVRDE_5_N101,ALL,1,45.98164,2,5
45,2024-01-01T13:15:00-00:00,2024-01-01T13:30:00-00:00,2024-01-01,6,PALOVRDE_5_N101,PALOVRDE_5_N101,PALOVRDE_5_N101,HASP,LMP,LMP_PRC,PALOVRDE_5_N101,ALL,1,46.18832,2,5
46,2024-01-01T14:15:00-00:00,2024-01-01T14:30:00-00:00,2024-01-01,7,PALOVRDE_5_N101,PALOVRDE_5_N101,PALOVRDE_5_N101,HASP,LMP,LMP_PRC,PALOVRDE_5_N101,ALL,1,39.93825,2,5
